Owner;Name;Type
jdk.internal.misc.Unsafe;ARRAY_BYTE_INDEX_SCALE;int
java.security.CodeSource;serialVersionUID;long
java.lang.invoke.MethodType;serialVersionUID;long
java.lang.invoke.Invokers;$assertionsDisabled;boolean
java.lang.ClassValue$ClassValueMap;INITIAL_ENTRIES;int
java.time.LocalTime;serialVersionUID;long
java.lang.invoke.MemberName;IS_TYPE;int
jdk.internal.reflect.ConstantPool$Tag;UTF8;jdk.internal.reflect.ConstantPool$Tag
java.math.BigInteger;TOOM_COOK_SQUARE_THRESHOLD;int
java.io.File;separator;java.lang.String
java.time.temporal.ChronoField;MILLI_OF_DAY;java.time.temporal.ChronoField
java.lang.Byte;BYTES;int
java.util.stream.Collector$Characteristics;CONCURRENT;java.util.stream.Collector$Characteristics
jdk.internal.misc.Unsafe;ARRAY_SHORT_INDEX_SCALE;int
java.lang.invoke.LambdaForm$Kind;PUT_INT;java.lang.invoke.LambdaForm$Kind
java.lang.invoke.VarHandle$AccessMode;COMPARE_AND_EXCHANGE;java.lang.invoke.VarHandle$AccessMode
java.lang.ReflectiveOperationException;serialVersionUID;long
java.lang.invoke.VarHandle$AccessType;COMPARE_AND_EXCHANGE;java.lang.invoke.VarHandle$AccessType
java.lang.LiveStackFrameInfo;MODE_COMPILED;int
java.lang.Thread;NORM_PRIORITY;int
java.lang.invoke.LambdaForm;VOID_RESULT;int
java.net.URI;H_DIGIT;long
java.nio.charset.CharsetDecoder;ST_CODING;int
java.lang.Long;MIN_VALUE;long
jdk.internal.misc.Unsafe;ARRAY_INT_BASE_OFFSET;int
java.nio.charset.CoderResult;CR_OVERFLOW;int
java.time.chrono.IsoEra;BCE;java.time.chrono.IsoEra
java.time.Instant;serialVersionUID;long
java.time.LocalTime;SECONDS_PER_HOUR;int
java.lang.annotation.RetentionPolicy;SOURCE;java.lang.annotation.RetentionPolicy
java.lang.invoke.DirectMethodHandle;NF_ensureInitialized;byte
sun.invoke.util.Wrapper;BOOLEAN;sun.invoke.util.Wrapper
java.lang.invoke.VarHandle$AccessMode;GET_OPAQUE;java.lang.invoke.VarHandle$AccessMode
java.lang.module.Configuration;$assertionsDisabled;boolean
java.lang.invoke.LambdaForm$Kind;GET_INT_VOLATILE;java.lang.invoke.LambdaForm$Kind
java.time.ZoneId;serialVersionUID;long
java.lang.module.ModuleDescriptor$Opens$Modifier;SYNTHETIC;java.lang.module.ModuleDescriptor$Opens$Modifier
java.time.DayOfWeek;SATURDAY;java.time.DayOfWeek
java.lang.Thread$State;TERMINATED;java.lang.Thread$State
java.io.ObjectStreamClass;serialVersionUID;long
java.lang.Character;SPACE_SEPARATOR;byte
java.util.stream.Collector$Characteristics;IDENTITY_FINISH;java.util.stream.Collector$Characteristics
java.time.temporal.ChronoField;AMPM_OF_DAY;java.time.temporal.ChronoField
java.lang.NoSuchMethodError;serialVersionUID;long
java.lang.invoke.LambdaForm;INTERNED_ARGUMENT_LIMIT;int
java.lang.invoke.MethodTypeForm;LF_INVSTATIC_INIT;int
